,negative,positive,total
allowed,37,50,87
allowence,0,1,1
allowing,3,3,6
allows,0,7,7
allready,1,3,4
allrighty,1,0,1
alls,1,1,2
allspice,0,1,1
allston,0,1,1
alltel,0,1,1
alltime,0,1,1
alltimelow,10,1,11
alltimelowsuckmorecockthanawellpaidwhore,1,0,1
alltimelowweek,1,0,1
allts,1,0,1
alluminium,0,1,1
allure,0,1,1
allus,0,1,1
allway,0,1,1
allways,2,0,2
ally,9,11,20
allyson,1,0,1
alma,1,0,1
almie,1,0,1
almightey,1,0,1
almo,0,1,1
almodovar,0,1,1
almondito,0,1,1
almonds,0,1,1
almos,1,0,1
almost,158,210,368
almostfour,1,0,1
alms,0,1,1
almuerzo,0,1,1
alo,0,1,1
aloe,3,4,7
aloha,3,4,7
alohafriday,1,0,1
alol,0,1,1
alone,119,106,225
aloneeeeeeeee,1,0,1
along,56,82,138
alonggg,1,0,1
alongside,1,0,1
alongwith,0,1,1
alonzo,1,0,1
aloof,0,1,1
alook,0,1,1
alooone,1,0,1
alooonee,1,0,1
alooooone,1,0,1
aloooooooone,0,1,1
aloready,1,0,1
alot,50,88,138
alota,1,0,1
alotta,2,1,3
aloud,7,3,10
alound,1,0,1
alpaca,1,1,2
alpacas,2,0,2
alpe,1,0,1
alpha,6,3,9
alphabeat,2,0,2
alphabet,0,3,3
alphabetizing,1,0,1
alphabetti,1,0,1
alpolitics,1,0,1
alppy,0,1,1
alps,0,2,2
alr,4,2,6
alratos,1,0,1
alrd,0,1,1
alrdy,0,3,3
alread,1,0,1
alreadeh,1,0,1
alreadt,1,0,1
already,393,486,879
alreadyy,2,1,3
alrighht,0,1,1
alrighr,0,1,1
alright,58,102,160
alrighty,2,9,11
alrite,2,4,6
alrrright,1,0,1
alryt,1,0,1
als,1,0,1
alsation,1,0,1
alseep,1,1,2
also,283,446,729
alsoo,0,2,2
alsoposted,0,1,1
alster,1,0,1
alt,1,6,7
altaf,1,0,1
altair,0,1,1
altamonte,2,0,2
alter,3,2,5
altered,2,0,2
alternat,1,0,1
alternate,2,5,7
alternately,1,0,1
alternateroutes,1,0,1
alternating,0,1,1
alternative,5,7,12
alternatively,0,1,1
alternatives,0,2,2
alternator,1,1,2
alterra,0,2,2
alterune,1,0,1
altgirltweet,1,0,1
altho,7,6,13
although,65,98,163
althought,0,1,1
altitude,1,0,1
alto,3,6,9
altogether,1,1,2
alton,1,2,3
altoona,0,1,1
altough,1,0,1
altum,1,0,1
alu,0,1,1
alum,0,2,2
aluminium,0,1,1
aluminum,2,1,3
alumni,1,1,2
alura,2,0,2
aluth,0,1,1
alvaro,0,1,1
alvechurch,1,0,1
alves,0,1,1
alvie,1,0,1
alvin,1,2,3
alvina,1,0,1
alvive,0,1,1
alwas,1,0,1
alwase,0,1,1
alwasy,1,0,1
alway,2,3,5
always,505,751,1256
alwaysandforever,1,0,1
alwaysz,1,0,1
alwful,1,0,1
alwyas,0,1,1
alwys,1,1,2
aly,5,1,6
alya,1,0,1
alyce,1,0,1
alycia,1,0,1
alys,0,1,1
alysa,0,1,1
alysha,1,0,1
alysheea,0,1,1
alyson,3,1,4
alyssa,22,10,32
alyssas,1,0,1
alyssum,1,0,1
am,1324,1721,3045
amaaaaazing,1,1,2
amaaaazing,0,1,1
amaaazing,1,0,1
amaaquentcr,1,0,1
amaazing,0,2,2
amahzing,0,1,1
amaing,0,1,1
amaizing,0,1,1
amalina,1,0,1
amameeeeeeeee,0,1,1
amanda,32,14,46
amandaa,0,1,1
amandaaaaaaaaaa,0,1,1
amandanaomi,1,0,1
amandapalmer,7,2,9
amandas,0,1,1
amandina,1,0,1
amanduhwood,1,0,1
amanii,0,1,1
amannda,0,1,1
amap,1,0,1
amara,1,0,1
amare,1,0,1
amarula,0,1,1
amat,0,1,1
amateur,3,4,7
amateurish,1,1,2
amayzeeng,0,1,1
amazazing,0,1,1
amaze,3,4,7
amazeballs,1,0,1
amazed,6,7,13
amazement,0,1,1
amazes,2,1,3
amaziiiiing,0,1,1
amaziing,0,1,1
amazin,5,3,8
amazing,286,349,635
amazingday,0,1,1
amazingg,2,0,2
amazinggg,3,0,3
amazinggggg,0,1,1
amazinggggggggg,0,1,1
amazinggggggggggg,0,1,1
amazingly,8,11,19
amazinglyamazing,0,1,1
amazingness,1,0,1
amazinnnng,0,1,1
amazon,13,17,30
amazong,0,1,1
amazonmp,0,1,1
ambani,0,1,1
ambassador,1,0,1
ambbuurrrr,1,0,1
ambeeerrrr,1,0,1
ambelside,0,1,1
amber,21,10,31
ambergirl,1,0,1
amberlicious,0,1,1
amberlovely,1,0,1
amberly,1,0,1
amberr,0,1,1
ambi,2,0,2
ambien,0,1,1
ambience,0,1,1
ambient,1,0,1
ambiguous,0,1,1
ambiguously,0,1,1
ambil,1,0,1
ambition,3,1,4
ambitious,1,0,1
ambivalent,0,1,1
ambiye,1,1,2
amble,0,1,1
ambs,0,3,3
ambulance,0,1,1
amby,1,0,1
amc,1,2,3
amd,6,1,7
amdroid,1,0,1
ame,1,1,2
ameen,0,1,1
amehaquaboogie,1,0,1
amelia,2,5,7
amelie,1,0,1
amellia,1,0,1
amen,15,24,39
amends,0,2,2
amenn,0,2,2
amennn,0,1,1
america,34,34,68
american,30,51,81
americans,8,6,14
americas,1,1,2
amerie,0,1,1
ames,0,1,1
amethyst,1,1,2
amex,0,2,2
amg,1,0,1
amgrat,1,0,1
ami,2,2,4
amibtious,0,1,1
amid,1,0,1
amidst,1,1,2
amie,1,2,3
amiee,1,0,1
amien,0,1,1
amiga,2,4,6
amigaaayiorehifoegfuo,0,1,1
amigas,2,0,2
amigo,0,2,2
amigos,3,0,3
amii,0,1,1
amiie,1,0,1
amil,0,1,1
amillie,1,0,1
amillion,1,0,1
amilya,1,0,1
amimee,1,0,1
amin,1,1,2
aminamin,0,1,1
amir,3,1,4
amira,0,1,1
amirrrrr,1,0,1
amirul,0,1,1
amish,3,0,3
amishooo,0,1,1
amistad,1,0,1
amit,0,1,1
amitie,1,0,1
amityville,1,0,1
amjust,1,0,1
amjw,0,1,1
aml,1,0,1
amm,1,0,1
ammar,1,0,1
ammend,0,1,1
ammendments,0,1,1
ammm,1,0,1
ammmm,1,0,1
ammmmm,1,0,1
ammo,0,1,1
ammon,0,1,1
ammontrit,0,1,1
ammouni,0,1,1
ammsss,1,0,1
ammunition,0,2,2
amna,1,0,1
amne,1,0,1
amnesia,1,0,1
amnesiac,1,0,1
amnon,0,1,1
amo,6,0,6
amok,1,0,1
among,6,5,11
amongst,5,2,7
amooo,1,0,1
amor,5,0,5
amore,0,1,1
amorsito,0,1,1
amos,1,2,3
amount,11,18,29
amounts,1,9,10
amp,1,3,4
ampache,1,0,1
ampe,1,1,2
amped,0,1,1
amper,0,1,1
ampf,0,1,1
amphi,1,1,2
amphitheater,0,1,1
ampitheater,1,0,1
amps,1,0,1
ampublicrelations,1,0,1
amputated,2,0,2
amr,1,1,2
ams,0,1,1
amstell,1,0,1
amstelveen,1,0,1
amsterdam,6,7,13
amt,1,0,1
amtarot,1,0,1
amtrak,1,1,2
amtv,0,1,1
amusant,0,1,1
amuse,1,5,6
amused,3,5,8
amusement,1,0,1
amuses,0,2,2
amusing,10,9,19
amusingly,0,1,1
amway,0,1,1
amxing,0,1,1
amy,44,32,76
amyleegonzalez,1,0,1
amyraaa,1,0,1
amyrail,0,1,1
amything,1,0,1
amyyy,1,0,1
amz,0,1,1
amzing,1,1,2
amzn,2,0,2
an,890,1147,2037
ana,11,6,17
anaa,0,1,1
anaaaaaaaaaaaaaaaaaa,1,0,1
anabella,1,0,1
anabelle,0,1,1
anaesthesia,0,1,1
anaesthetic,0,1,1
anaheim,1,0,1
anair,1,0,1
anak,2,2,4
anaka,0,1,1
anakalypsoun,0,1,1
anal,3,4,7
anall,0,1,1
analog,0,3,3
analogies,1,0,1
analogy,2,4,6
analouge,1,0,1
analyses,0,1,1
analysis,2,4,6
analysts,1,1,2
analytic,1,0,1
analytical,1,1,2
analytics,2,4,6
analyze,0,1,1
analyzed,0,1,1
analyzing,1,0,1
anam,1,0,1
anamenudo,0,1,1
anaphalactic,1,0,1
anaphylaxis,1,0,1
anarbor,1,0,1
anastasia,1,2,3
anatolia,1,0,1
anatomny,1,0,1
anatomy,5,3,8
anaw,0,1,1
anax,1,0,1
anberlin,2,1,3
anbody,0,1,1
anc,1,0,1
anca,0,1,1
ancestors,1,1,2
anchor,2,0,2
anchoring,1,0,1
anchovies,0,1,1
ancident,1,0,1
ancient,3,4,7
ancy,1,0,1
and,7534,8912,16446
andami,0,1,1
andas,0,1,1
andcasien,1,0,1
andd,5,1,6
anddd,1,0,1
andddd,0,1,1
anddddd,1,0,1
andddddd,1,0,1
anddunkin,0,1,1
ande,1,0,1
anderem,0,1,1
anders,0,1,1
andersen,1,0,1
anderson,4,3,7
andi,0,1,1
andie,0,1,1
andim,3,0,3
andis,1,0,1
andito,0,1,1
andnav,1,0,1
andoy,0,1,1
andr,3,1,4
andraz,1,0,1
andre,6,1,7
andrea,16,8,24
andreano,0,1,1
andreea,3,0,3
andreeeeeeee,1,0,1
andres,0,1,1
andrew,29,22,51
andrews,3,1,4
andrewww,0,1,1
android,5,5,10
andromeda,0,1,1
andrummm,1,0,1
andva,1,0,1
andy,44,39,83
andyclemmensen,38,1,39
andyclemmenson,1,0,1
andyhurleyday,19,2,21
andypants,1,0,1
andys,1,2,3
andyunderground,1,0,1
andywendt,1,0,1
andyy,1,0,1
ane,3,4,7
anecdote,0,1,1
anees,1,0,1
aneezd,1,0,1
aneko,2,0,2
anelis,1,0,1
anemia,1,0,1
anemic,0,1,1
anesti,1,0,1
anetko,1,0,1
anette,1,1,2
aneurysm,1,0,1
anew,2,0,2
anewday,1,0,1
anf,1,1,2
anfair,1,0,1
ang,20,36,56
ange,2,2,4
angel,24,16,40
angela,17,7,24
angele,1,0,1
angeles,6,5,11
angelic,1,0,1
angelica,1,2,3
angelically,0,1,1
angelina,4,2,6
angelique,0,1,1
angelireul,1,0,1
angels,13,9,22
angelsanddemons,1,0,1
angelynn,1,0,1
angeoplasty,0,1,1
anger,3,5,8
angered,0,1,1
angers,0,2,2
angetan,1,0,1
anggi,1,0,1
angi,0,3,3
angie,12,6,18
angieeee,0,1,1
angiepuddnpie,1,0,1
angilena,0,1,1
angilicious,0,1,1
angin,0,1,1
angle,3,9,12
angled,0,1,1
angles,0,3,3
anglophile,1,0,1
anglz,0,1,1
angra,1,0,1
angrily,1,0,1
angry,30,19,49
angryfacing,1,0,1
angrygirl,1,0,1
angrymarks,1,0,1
angst,1,6,7
angsty,0,4,4
angus,2,3,5
angwaagee,0,1,1
angy,1,0,1
anh,0,5,5
ani,6,4,10
anibody,0,1,1
anica,0,1,1
anice,0,1,1
aniko,2,4,6
anil,1,0,1
anima,1,0,1
animal,18,18,36
animallllsss,1,0,1
animals,21,25,46
animalstyle,1,0,1
animate,0,1,1
animated,4,5,9
animating,1,0,1
animation,4,3,7
anime,7,10,17
animes,1,2,3
anip,0,1,1
anipal,0,1,1
anipalsto,0,1,1
aniston,3,0,3
anita,2,2,4
anitbiotics,1,0,1
aniversary,1,1,2
aniversery,1,0,1
anjie,0,1,1
ank,1,0,1
anke,1,0,1
ankel,0,1,1
ankie,1,1,2
ankit,0,1,1
ankle,13,12,25
ankles,5,3,8
anklet,0,1,1
anks,0,1,1
ankur,0,1,1
ann,5,19,24
anna,10,32,42
annaaaa,0,1,1
annabelle,1,0,1
annalisa,0,1,1
annalowmanisamassiveloser,0,1,1
annam,0,1,1
annasophia,1,0,1
anncement,1,0,1
annd,2,2,4
anndddd,1,0,1
anne,5,18,23
anneliese,0,1,1
annemarie,0,1,1
annemieke,0,1,1
anneshirley,0,1,1
annette,0,4,4
annex,0,1,1
annick,0,1,1
annie,4,10,14
anniebelle,1,0,1
annielicious,0,1,1
annies,2,1,3
annika,1,0,1
annisa,0,1,1
anniv,1,0,1
anniversaire,0,1,1
anniversaries,0,1,1
anniversary,14,16,30
annnd,1,0,1
annnddd,1,1,2
annnieee,0,1,1
annnnaaaa,0,1,1
annnnd,0,1,1
annnnna,1,0,1
annnnnd,1,0,1
annnnndd,0,1,1
annnouncement,0,1,1
annnywhere,1,0,1
anno,0,1,1
annoop,0,1,1
annouced,1,2,3
announce,6,6,12
announced,8,9,17
announcement,10,5,15
announcements,3,1,4
announcer,2,0,2
announces,2,0,2
announcing,2,2,4
annoy,2,7,9
annoyance,1,0,1
annoyed,25,18,43
annoyin,0,2,2
annoying,62,95,157
annoyingly,2,2,4
annoys,2,6,8
annual,2,6,8
annually,1,0,1
annuals,1,1,2
anny,0,2,2
annyeong,1,0,1
annying,1,0,1
ano,2,5,7
anoin,0,1,1
anois,0,1,1
anon,2,0,2
anong,0,2,2
anonymity,0,2,2
anonymous,5,4,9
anoop,4,12,16
anor,0,1,1
anorak,2,0,2
anorexia,1,0,1
anoron,1,0,1
anotha,5,2,7
another,309,283,592
anothermccoy,1,0,1
anothers,0,1,1
anouce,1,0,1
anouk,0,1,1
anounement,1,0,1
anounncement,1,0,1
anoyying,0,1,1
anr,1,0,1
ans,0,2,2
ansa,0,1,1
ansatz,0,1,1
ansel,0,1,1
anson,0,1,1
ansteroonie,0,1,1
ansu,0,1,1
answare,0,1,1
answer,83,115,198
answerd,0,1,1
answered,14,11,25
answering,11,20,31
answers,11,18,29
ant,4,7,11
antagonist,1,0,1
antagonists,0,1,1
antartica,0,1,1
antenna,1,1,2
antes,0,1,1
anth,2,0,2
anthem,4,3,7
anthems,1,0,1
anthill,1,0,1
anthm,1,0,1
antho,0,1,1
anthology,0,1,1
anthon,0,1,1
anthony,5,8,13
anthonys,1,0,1
anthor,0,1,1
anthr,0,1,1
anthro,0,1,1
anthropologie,0,1,1
anti,9,13,22
antibacterial,1,0,1
antibiotic,0,1,1
antibiotics,5,1,6
anticipate,0,1,1
anticipated,0,1,1
anticipates,0,1,1
anticipating,3,4,7
anticipation,2,2,4
anticlimax,1,2,3
anticlockwise,1,0,1
antics,1,3,4
antidisestablishmentarianism,1,0,1
antidote,0,1,1
antie,0,1,1
antijonasbrothersday,1,0,1
antimiley,0,1,1
antiobiotics,0,1,1
antioch,0,1,1
antip,0,1,1
antipasti,0,1,1
antipedian,1,0,1
antipodeans,0,1,1
antipolis,1,0,1
antique,1,5,6
antiques,0,4,4
antishychotic,1,0,1
antisocial,0,1,1
antispyware,0,1,1
antivirus,2,1,3
antix,1,0,1
antlers,1,0,1
antm,3,0,3
antoinette,1,0,1
anton,1,1,2
antonio,1,9,10
ants,9,1,10
antsje,1,0,1
antsy,2,0,2
antwerp,2,0,2
anty,1,0,1
anu,0,1,1
anunta,1,0,1
anuntat,0,1,1
anutha,1,0,1
anvil,1,2,3
anw,1,0,1
anways,1,0,1
anx,0,1,1
anxiaty,1,0,1
anxiety,9,8,17
anxious,5,10,15
anxiously,0,3,3
any,488,655,1143
anya,0,2,2
anybody,22,14,36
anyday,2,2,4
anyer,3,0,3
anyfing,0,1,1
anyforty,1,0,1
anyhoo,4,5,9
anyhow,6,11,17
anym,0,1,1
anymommy,1,0,1
anymore,178,229,407
anymoreee,2,2,4
anymoreeeeee,0,1,1
anymores,0,1,1
anymorre,1,0,1
anymorrrrrrrree,1,0,1
anyone,166,136,302
anyonefeeling,1,0,1
anyones,3,1,4
anyoo,0,1,1
anyother,1,0,1
anyplace,1,0,1
anythaang,0,1,1
anythin,4,3,7
anything,255,385,640
anythingg,0,1,1
anythink,1,1,2
anythn,0,1,1
anytime,33,76,109
anyting,1,1,2
anywa,1,0,1
anywais,0,1,1
anywat,0,1,1
anyway,142,229,371
anyways,46,55,101
anywayyy,1,0,1
anywayz,2,1,3
anywhere,44,53,97
anywhereeeeee,0,1,1
anywho,5,3,8
anywhooo,0,2,2
anywhoooo,0,1,1
anywork,0,1,1
anywyay,0,1,1
anyything,1,0,1
anz,1,1,2
anza,1,0,1
ao,2,1,3
aobut,0,1,1
aod,1,0,1
aof,0,2,2
aoi,0,1,1
aol,2,3,5
aots,1,1,2
aouch,1,0,1
aouda,1,0,1
aoyama,0,1,1
ap,6,8,14
apa,2,6,8
apaa,0,2,2
apache,0,2,2
apalled,1,0,1
aparant,1,0,1
aparecen,0,1,1
apareceu,0,1,1
aparently,2,1,3
apart,24,30,54
apartmen,0,1,1
apartment,18,17,35
apartments,0,4,4
apb,1,0,1
apcs,0,1,1
apd,1,0,1
ape,2,2,4
apec,0,2,2
apennines,0,1,1
apercheddove,2,0,2
aperture,2,1,3
apetit,0,1,1
apetite,0,1,1
aph,1,0,1
aphrodisiac,0,1,1
api,8,5,13
apl,1,1,2
aplaudam,1,0,1
aplenty,0,1,1
aplm,1,0,1
aplogies,0,1,1
aplusk,0,1,1
apni,1,0,1
apo,0,1,1
apoc,0,1,1
apocalypse,0,1,1
apollo,1,1,2
apollocon,1,0,1
apologies,7,7,14
apologise,1,0,1
apologises,1,1,2
apologize,4,14,18
apologized,1,1,2
apologizing,1,1,2
apology,6,2,8
apols,1,0,1
aporkalype,0,1,1
apos,1,0,1
apostro,0,1,1
apostrophe,0,1,1
apostrophes,0,1,1
app,57,69,126
appalling,1,0,1
apparantley,1,0,1
apparantly,1,2,3
apparel,0,1,1
apparent,3,5,8
apparently,76,94,170
apparenty,0,1,1
appeal,2,3,5
appealed,0,1,1
appealing,2,5,7
appear,12,18,30
appearance,3,7,10
appearances,0,1,1
appeared,2,4,6
appearing,2,2,4
appears,9,13,22
appericate,0,2,2
appetit,0,3,3
appetite,5,4,9
appetizer,1,1,2
applauding,0,1,1
applause,1,0,1
apple,78,75,153
applebees,0,2,2
appleby,0,1,1
applecare,0,1,1
applejacks,1,0,1
applejuice,1,0,1
apples,9,6,15
applescript,1,0,1
applet,1,0,1
appleton,0,1,1
appliance,0,1,1
appliances,0,1,1
applicable,0,2,2
applicants,0,2,2
application,12,9,21
applications,2,4,6
applied,3,10,13
applies,3,3,6
apply,13,18,31
applying,2,8,10
appointed,1,1,2
appointment,11,11,22
appointments,1,1,2
apportioned,0,1,1
appps,1,0,1
apprc,1,0,1
apprecaite,1,2,3
appreci,0,1,1
appreciate,47,93,140
appreciated,21,43,64
appreciates,2,4,6
appreciateu,0,1,1
appreciating,1,3,4
appreciation,5,5,10
appreciations,0,1,1
appreciative,1,1,2
apprehensive,0,1,1
apprentice,15,5,20
apprently,1,1,2
appretiate,1,0,1
appriciate,0,1,1
appriecate,1,0,1
appriecated,1,0,1
approach,5,7,12
approachable,1,0,1
approached,1,1,2
approaching,2,1,3
appropriate,8,5,13
approval,6,5,11
approve,6,10,16
approved,6,5,11
approves,1,0,1
approving,0,1,1
approx,1,0,1
approximately,2,0,2
approximation,0,1,1
apps,28,30,58
appstore,3,2,5
appt,10,6,16
appts,3,1,4
appudu,0,1,1
apr,1,0,1
apreciate,1,0,1
apreciated,0,1,1
aprendeu,0,1,1
aprendi,1,0,1
apricot,1,0,1
april,15,29,44
aprillia,0,1,1
aprizzle,0,1,1
aproachinnormal,1,0,1
aprom,1,0,1
apron,0,4,4
aprons,0,1,1
aproove,0,1,1
aprove,1,0,1
aprreciate,1,0,1
apsest,0,1,1
apsh,0,1,1
apt,14,12,26
aptana,0,2,2
aption,1,0,1
aptly,0,1,1
apts,0,1,1
aptw,0,1,1
apwr,0,1,1
apy,0,1,1
aq,1,0,1
aqa,0,2,2
aqain,1,0,1
aqi,1,0,1
aqua,1,0,1
aquabats,1,0,1
aquafina,0,1,1
aquanote,1,0,1
aquariam,1,0,1
aquarium,4,2,6
aquela,1,0,1
aqui,0,1,1
ar,9,14,23
ara,1,0,1
araaaamm,0,1,1
arab,1,1,2
arabian,0,1,1
arabic,2,5,7
arabizing,1,0,1
arabs,1,0,1
arah,0,1,1
aram,0,1,1
aramex,1,1,2
arana,1,0,1
araw,0,1,1
arbeitslos,0,1,1
arbonne,0,1,1
arbor,1,2,3
arborescence,1,0,1
arbortions,1,0,1
arby,2,1,3
arc,0,1,1
arcade,1,2,3
arcades,0,1,1
arcadia,0,1,1
arcania,0,1,1
arcee,0,1,1
arch,3,4,7
archaeopteryx,1,0,1
archana,0,1,1
archangel,0,1,1
archer,0,1,1
archerradio,0,1,1
archery,0,1,1
archetype,1,0,1
archie,4,13,17
archiejoepet,0,1,1
architects,0,2,2
architectural,1,0,1
architecture,0,1,1
archive,3,0,3
archived,0,1,1
archives,0,2,2
archiving,0,1,1
archlinux,1,0,1
archofroses,1,0,1
archuleta,10,6,16
archuweek,0,1,1
arctic,2,0,2
arctica,2,0,2
arcy,0,1,1
ard,1,2,3
arden,1,1,2
ardy,1,0,1
are,2494,3854,6348
area,37,60,97
aready,1,0,1
areas,4,6,10
aree,3,7,10
areee,1,0,1
areeee,0,1,1
areeeeee,0,1,1
areej,0,1,1
aregoing,0,1,1
arek,0,1,1
aren,1,0,1
arena,5,5,10
arent,26,31,57
ares,1,0,1
aretha,1,0,1
arewenearlythereyetmummy,1,0,1
arezzo,0,1,1
arf,2,1,3
arfatar,1,0,1
arg,5,0,5
argenis,0,1,1
argent,0,1,1
argenti,0,1,1
argentina,5,13,18
argetina,0,1,1
argg,0,1,1
arggg,0,2,2
argggggghhhh,0,1,1
argggh,1,1,2
arggh,1,0,1
argghhh,0,1,1
argh,37,25,62
arghgh,1,0,1
arghghggh,1,0,1
arghh,1,2,3
arghhh,1,5,6
arghhhh,0,4,4
arghhhhh,0,1,1
arghhhhhhhhhhhhhhh,1,0,1
argos,0,1,1
argue,5,5,10
argueing,1,0,1
arguement,0,1,1
arguements,0,2,2
arguing,6,2,8
argument,8,6,14
arguments,1,2,3
arhhh,2,0,2
ari,3,8,11
aria,0,3,3
ariaa,0,1,1
arial,0,1,1
arian,0,1,1
ariana,0,1,1
arianna,0,2,2
arianne,1,0,1
aric,0,1,1
arie,1,0,1
ariel,1,2,3
arielle,1,2,3
arielleeeee,0,1,1
aries,1,2,3
arigato,0,1,1
arigatou,0,1,1
aright,0,1,1
arija,0,1,1
arik,0,2,2
arinna,0,1,1
aris,1,0,1
arisen,0,1,1
arising,1,1,2
arist,1,0,1
ariza,0,1,1
arizona,10,5,15
arizonaa,0,1,1
arizzard,0,1,1
arj,0,3,3
arjun,0,1,1
ark,1,2,3
arkain,1,1,2
arkansas,0,2,2
arkarna,1,0,1
arkiv,1,0,1
arla,0,1,1
arlando,0,1,1
arleen,2,2,4
arleigh,0,1,1
arlene,0,2,2
arlington,0,1,1
arm,20,24,44
arma,1,0,1
armada,1,0,1
armadillocon,1,0,1
armageddon,1,0,1
armaine,0,1,1
armando,3,2,5
armani,1,0,1
armchair,0,1,1
armed,1,1,2
armhole,1,0,1
armin,4,1,5
arminnnn,1,0,1
armins,0,1,1
armon,0,1,1
armor,3,1,4
armored,2,0,2
armory,2,0,2
arms,26,26,52
armstrong,0,1,1
army,6,6,12
armywives,1,0,1
arn,0,4,4
arnab,0,1,1
arnay,1,0,1
arnd,1,3,4
arnel,0,1,1
arnie,0,3,3
arno,0,1,1
arnold,2,1,3
arnott,1,0,1
arnt,4,1,5
aro,0,1,1
aroldi,1,0,1
aroma,1,2,3
aron,0,1,1
arora,1,0,1
arose,1,0,1
aroun,0,1,1
around,255,344,599
arounds,1,0,1
arouse,1,0,1
aroused,2,0,2
arpaio,1,0,1
arr,0,4,4
arrahman,1,0,1
arrange,2,3,5
arranged,2,1,3
arrangement,0,1,1
arrangements,1,4,5
arranging,1,3,4
arraza,0,1,1
arrazando,0,1,1
arre,1,0,1
arrest,3,1,4
arrested,6,4,10
arrests,0,1,1
arrggh,0,1,1
arrgghh,0,1,1
arrgghhhh,1,0,1
arrgghhhhh,0,1,1
arrgh,0,1,1
arrghh,1,0,1
arrghhh,1,0,1
arrid,1,0,1
arrington,0,1,1
arrival,3,2,5
arrivals,0,2,2
arrive,14,18,32
arrived,17,31,48
arrives,2,9,11
arriving,3,5,8
arrogant,4,2,6
arrojo,0,1,1
arron,1,0,1
arrow,4,4,8
arrowhead,1,0,1
arrows,1,4,5
arrr,0,1,1
arrrr,0,1,1
arrrrgggghhhhhh,1,0,1
arrrrgh,4,0,4
arrrrrrgggh,1,0,1
arrrrrrr,1,0,1
arrrrrrrgggggggghhhhhhhh,1,0,1
arrrrrrrr,0,1,1
arrrrrrrrgh,1,0,1
arrve,1,0,1
arsca,1,0,1
arse,2,11,13
arsed,1,3,4
arsehole,1,0,1
arsenal,4,3,7
arsenall,0,1,1
arsene,1,0,1
arsenic,1,0,1
arsey,0,1,1
arshavin,1,0,1
arsloch,0,1,1
art,52,60,112
artbook,1,0,1
arte,0,1,1
artedeb,0,1,1
artemis,1,1,2
artemy,0,1,1
artfire,0,2,2
arthas,0,1,1
arthiritis,0,1,1
arthur,6,4,10
articals,1,0,1
artichoke,1,0,1
article,39,41,80
articles,8,6,14
articol,0,1,1
articulate,1,0,1
articulated,1,0,1
articulating,1,0,1
artie,0,1,1
artifact,1,0,1
artificial,1,0,1
arting,0,1,1
artisan,1,0,1
artist,13,23,36
artistic,2,1,3
artists,15,9,24
artomatic,1,0,1
artricles,1,0,1
arts,3,5,8
artsworker,0,1,1
artsy,0,3,3
artur,0,1,1
artura,1,0,1
artwork,6,4,10
arty,1,1,2
arv,0,1,1
arvika,0,1,1
arvo,1,2,3
aryianna,1,0,1
aryty,1,0,1
arz,0,1,1
as,1235,1718,2953
asa,1,2,3
asada,1,0,1
asadddddddd,0,1,1
asahi,1,1,2
asakusa,1,0,1
asanee,1,0,1
asante,1,0,1
asap,18,34,52
asaran,0,1,1
asayyyyyy,0,1,1
asb,1,0,1
asbury,0,1,1
ascendant,0,1,1
ascendas,1,0,1
ascension,0,1,1
asco,0,2,2
ascott,0,1,1
ascult,0,1,1
asda,0,4,4
asdf,2,0,2
asdfghjkl,2,0,2
asean,0,1,1
aseara,1,1,2
aser,1,0,1
asereje,1,0,1
asgnmnt,0,1,1
ash,5,53,58
asha,0,2,2
ashame,2,1,3
ashamed,9,11,20
ashanti,1,1,2
ashar,0,1,1
ashburn,0,1,1
ashby,1,0,1
ashchili,1,0,1
ashely,0,1,1
asher,1,4,5
ashes,6,5,11
ashestoashes,2,0,2
asheville,0,1,1
ashford,1,0,1
ashieeeee,1,0,1
ashkenazim,1,0,1
ashlee,3,3,6
ashleigh,2,1,3
ashleighhh,0,1,1
ashley,19,73,92
ashleyltmsyf,1,0,1
ashleys,2,0,2
ashleytisdale,1,0,1
ashleyy,0,3,3
ashlie,1,1,2
ashlinn,1,0,1
ashly,0,1,1
ashlykins,1,0,1
ashna,0,1,1
ashono,0,1,1
ashti,1,0,1
ashtin,1,0,1
ashton,2,32,34
ashtray,1,0,1
ashwathy,0,1,1
ashwin,1,0,1
ashy,1,0,1
ashymeraxyy,0,1,1
ashyy,0,1,1
asia,6,12,18
asiabrands,0,1,1
asian,17,13,30
asians,0,3,3
asid,0,1,1
aside,2,6,8
asif,0,1,1
asiiiiiiiiik,1,0,1
asiknya,1,0,1
asimov,1,0,1
asin,0,1,1
asiscs,1,0,1
asit,0,1,1
ask,129,194,323
askagent,1,0,1
askd,0,1,1
aske,1,0,1
asked,63,66,129
askhaf,0,1,1
askimet,1,0,1
askin,1,1,2
asking,37,66,103
askk,0,1,1
askn,0,2,2
asks,4,1,5
asksteve,3,0,3
aslan,1,1,2
asleeep,0,2,2
asleep,75,77,152
aslo,0,1,1
aslyum,1,0,1
asm,0,1,1
asn,0,1,1
aso,0,2,2
asociated,0,1,1
asoka,1,0,1
asos,0,3,3
asot,48,10,58
asp,1,0,1
aspartame,0,1,1
aspca,2,0,2
aspecially,1,0,1
aspect,2,2,4
aspects,1,0,1
asperger,0,1,1
aspire,1,0,1
aspirin,1,0,1
aspiring,0,1,1
asronomy,1,0,1
ass,129,110,239
assalamualaikum,1,0,1
assasiinated,1,0,1
